bResult,blueTeamTag,redTeamTag,gamelength
1,AFs,ROX,40
1,kt,SSG,37
1,SSG,kt,35
1,kt,SSG,33
1,LZ,MVP,38
1,JAG,bbq,37
1,SKT,AFs,33
1,SSG,EEW,45
1,SKT,JAG,36
1,LZ,EEW,36
1,SSG,bbq,29
1,AFs,MVP,30
1,kt,EEW,31
1,SKT,ROX,42
1,ROX,MVP,50
1,kt,bbq,44
1,SSG,JAG,28
1,JAG,SSG,29
1,SSG,JAG,53
1,LZ,AFs,47
1,AFs,LZ,38
1,LZ,AFs,37
1,EEW,ROX,42
1,ROX,EEW,24
1,kt,SKT,26
1,SKT,kt,45
1,SSG,LZ,32
1,AFs,JAG,27
1,MVP,bbq,30
1,kt,ROX,33
1,ROX,kt,28
1,AFs,LZ,42
1,LZ,AFs,34
1,JAG,SSG,31
1,bbq,EEW,29
1,EEW,bbq,42
1,bbq,EEW,29
1,LZ,MVP,29
1,SSG,EEW,30
1,LZ,bbq,31
1,SSG,SKT,26
1,bbq,JAG,41
1,AFs,SKT,34
1,ROX,MVP,32
1,kt,EEW,29
1,EEW,kt,47
1,kt,EEW,30
1,JAG,SKT,29
1,bbq,AFs,42
1,AFs,bbq,38
1,kt,MVP,33
1,EEW,ROX,40
1,LZ,SKT,33
1,SSG,bbq,32
1,LZ,EEW,28
1,kt,AFs,32
1,AFs,kt,40
1,kt,AFs,28
1,JAG,ROX,29
1,SSG,kt,34
1,kt,SSG,27
1,LZ,ROX,26
1,MVP,bbq,38
1,SKT,EEW,30
1,SSG,AFs,30
1,LZ,JAG,30
1,JAG,LZ,48
1,LZ,JAG,33
1,kt,bbq,36
1,bbq,kt,57
1,kt,bbq,30
1,SKT,ROX,40
1,JAG,MVP,42
1,MVP,JAG,45
1,AFs,EEW,28
1,kt,LZ,56
1,SSG,ROX,41
1,ROX,SSG,41
1,SSG,ROX,28
1,JAG,EEW,41
1,MVP,AFs,32
1,SKT,kt,33
1,kt,SKT,27
1,SKT,kt,34
1,ROX,bbq,37
1,bbq,ROX,31
1,ROX,bbq,53
1,EEW,MVP,42
1,AFs,JAG,50
1,SKT,bbq,37
1,LZ,SSG,45
1,SKT,AFs,34
1,SKT,SSG,34
1,SKT,SSG,50
1,kt,SKT,35
1,LZ,SKT,32
1,LZ,SKT,26
1,AFs,MVP,32
1,AFs,SSG,42
1,SSG,AFs,36
1,SSG,kt,61
1,SSG,kt,34
1,FB,M17,43
1,FB,WS,45
1,ahq,HKE,40
1,ahq,XG,31
1,FW,WS,48
1,FW,WS,27
1,ahq,WS,41
1,FB,JT,52
1,JT,FB,44
1,M17,WS,34
1,FW,HKE,37
1,XG,HKE,36
1,FW,FB,28
1,M17,XG,67
1,M17,HKE,36
1,HKE,M17,43
1,M17,HKE,32
1,FW,XG,27
1,HKE,FB,32
1,HKE,FB,39
1,FW,ahq,40
1,XG,WS,40
1,M17,JT,36
1,M17,JT,34
1,XG,FB,58
1,FB,XG,36
1,HKE,WS,38
1,FW,M17,39
1,JT,XG,27
1,ahq,M17,46
1,FW,JT,39
1,FW,JT,34
1,JT,HKE,31
1,M17,FB,34
1,M17,FB,31
1,ahq,HKE,31
1,ahq,HKE,43
1,FB,WS,30
1,ahq,XG,32
1,ahq,XG,27
1,FW,WS,25
1,ahq,WS,32
1,ahq,WS,39
1,M17,WS,29
1,M17,WS,29
1,HKE,XG,41
1,FW,XG,34
1,FW,XG,33
1,M17,HKE,25
1,M17,HKE,25
1,M17,XG,31
1,M17,XG,30
1,FW,FB,45
1,FW,FB,61
1,ahq,JT,54
1,JT,ahq,35
1,ahq,FB,26
1,ahq,FB,26
1,FW,HKE,27
1,M17,JT,45
1,JT,M17,37
1,ahq,JT,41
1,ahq,JT,32
1,FW,ahq,44
1,FW,ahq,42
1,JT,WS,32
1,M17,RG,55
1,RG,M17,36
1,ahq,WS,29
1,ahq,HKA,34
1,HKA,ahq,35
1,ahq,HKA,35
1,RG,FB,30
1,JT,M17,50
1,RG,HKA,31
1,WS,FW,50
1,RG,FW,44
1,ahq,M17,32
1,M17,WS,29
1,WS,M17,36
1,M17,WS,46
1,HKA,FB,45
1,JT,ahq,39
1,JT,ahq,37
1,FW,FB,36
1,FW,HKA,25
1,JT,RG,48
1,RG,JT,34
1,JT,FB,28
1,FW,M17,30
1,FW,M17,31
1,FW,ahq,38
1,ahq,FW,35
1,FW,ahq,38
1,FB,M17,51
1,ahq,FB,41
1,ahq,FB,26
1,RG,WS,66
1,WS,RG,33
1,FW,JT,40
1,HKA,FB,28
1,HKA,FB,31
1,ahq,WS,29
1,FW,WS,28
1,FW,WS,32
1,JT,RG,25
1,M17,JT,39
1,M17,JT,59
1,ahq,FB,29
1,RG,M17,33
1,HKA,AHQ,28
1,FW,JT,30
1,HKA,M17,29
1,M17,HKA,30
1,RG,WS,34
1,WS,RG,34
1,RG,WS,33
1,M17,FB,29
1,M17,FB,32
1,HKA,WS,35
1,HKA,WS,32
1,JT,WS,41
1,JT,WS,33
1,AHQ,RG,30
1,AHQ,RG,27
1,AHQ,M17,28
1,HKA,FW,33
1,FW,RG,31
1,RG,FW,34
1,FW,RG,30
1,JT,FB,23
1,RG,HKA,39
