bResult,rResult,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,Year
1,0,Rumble,Nunu,Vladimir,Graves,Thresh,Gragas,RekSai,Lissandra,Sivir,Morgana,2015
0,1,Jax,RekSai,Lulu,Kalista,Alistar,Rumble,Vi,Corki,Graves,Leona,2015
0,1,Hecarim,RekSai,Lissandra,Corki,Thresh,Lulu,Sejuani,Zed,Lucian,Janna,2015
1,0,Maokai,Zac,JarvanIV,Draven,Morgana,Hecarim,Vi,Lissandra,Vayne,Alistar,2015
1,0,Rumble,Gragas,KogMaw,Sivir,Nautilus,Maokai,RekSai,Viktor,Urgot,Thresh,2015
0,1,Rumble,RekSai,Azir,Corki,Thresh,Gnar,Gragas,Cassiopeia,Kalista,Annie,2015
1,0,Maokai,LeeSin,KogMaw,Ashe,Alistar,Hecarim,Sejuani,Azir,Kalista,Annie,2015
0,1,Gnar,RekSai,Ziggs,Urgot,Thresh,Yasuo,Evelynn,Fizz,Sivir,Alistar,2015
0,1,Hecarim,Nunu,Fizz,Sivir,Thresh,Rumble,Sejuani,Kassadin,Vayne,Nautilus,2015
1,0,Rumble,Nunu,Cassiopeia,Sivir,Thresh,Irelia,Sejuani,Vladimir,Graves,Nautilus,2015
1,0,Gnar,Zac,Vladimir,Kalista,Nautilus,Maokai,RekSai,KogMaw,Ashe,Thresh,2015
0,1,Hecarim,Evelynn,Leblanc,Sivir,Alistar,Gnar,Sejuani,Azir,Kalista,Thresh,2015
1,0,Rumble,Sejuani,Viktor,Sivir,Alistar,Hecarim,Evelynn,Kassadin,Kalista,Morgana,2015
0,1,Vladimir,Gragas,Viktor,Lucian,Thresh,Hecarim,LeeSin,Malphite,Jinx,Alistar,2015
0,1,Irelia,Gragas,Varus,Corki,Nautilus,Ryze,RekSai,Azir,Kalista,Thresh,2015
0,1,Ryze,Sejuani,Viktor,Ezreal,Nautilus,Maokai,RekSai,TwistedFate,Sivir,Thresh,2015
1,0,Gnar,RekSai,Leblanc,Vayne,Annie,Rumble,LeeSin,Azir,Sivir,Thresh,2015
0,1,Maokai,Sejuani,Ziggs,Kalista,Nautilus,Rumble,RekSai,Varus,Sivir,Thresh,2015
1,0,Ryze,Zac,Azir,Kalista,Morgana,Irelia,Gragas,Varus,Corki,Nautilus,2015
0,1,Maokai,Gragas,Azir,Lucian,Nautilus,Rumble,Sejuani,Leblanc,Sivir,Janna,2015
0,1,Maokai,RekSai,Cassiopeia,Vayne,Janna,Ryze,JarvanIV,Urgot,Sivir,Alistar,2015
0,1,Maokai,LeeSin,Azir,Kalista,Nautilus,Gnar,RekSai,Leblanc,Sivir,Bard,2015
